Company,Product categories,Company description,Page_URL
SNT MOTIV,,"We, SNT Motiv, are the Republic of Korean Government designated & authorized company for the manufacturing and supply of K series of Weapon System (5.56mm K2C1 assault rifle, 5.56mm K2C carbine rifle, 5.56mm K15 machine gun, 7.62mm K16 mahcine gun, 9mm STSM-21 Sub Machine Gun and DP51 Pistols etc), nationally/internationally with high quality precision product ensuring robust military and police operation. The previous company name was DAEWOO PRECISION supplied the rifle(K2 RIFLE) and pistol(DP51) to USA commercial market. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3574
SnugPak,"SHOT - Camping
SHOT - Apparel, Men's
SHOT - Law Enforcement Products/Services
SHOT - Bags/Packs & Equipment
SHOT - Apparel, Women's
SHOT","Snugpak is a manufacturer of high-quality sleeping bags, outdoor clothing and outdoor equipment. Founded in 1977 in the U.K., Snugpak products have been used on every permanently inhabited continent. The company enjoys long-standing contracts with many government defense agencies for both sleeping bags and clothing. This obviously is due not only to the performance of our products but also the quality workmanship and materials that go into every item we proudly put the Snugpak name on. Snugpak has won various awards in the industry. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3038
SoCal Legacy Design,Supplier -  ServicesSupplier -  FabricsSupplier -  FabricationSupplier -  OE materials,"SoCal Legacy Design is OEM sewing and design company based out of San Diego,  California. We are a government approved, woman owned small business. Our company is a reputable one that aims to provide the best quality work and the utmost pleasurable business experience. SoCal specializes on being able to bring pen to paper with an idea and convert that idea into reality. We pride ourselves with having the best quality service, product, lead time and pricing in the industry. The SoCal team has over 10 years of experience in design and manufacturing. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2142
SofHold Gun Magnets,SHOT -  Shooting Range EquipmentSHOT -  HolstersSHOT -  Communications/Electronics/GPSSHOT -  FootwearSHOT -  Feeder EquipmentSHOT -  Association/Agencies/Wildlife Mgmt.,"We at SofHold have a passion for anything gun related and love all kinds of gun accessories! In 2016 I spent 8 months developing what is now our company, SofHold.com, and what we believe is the best gun magnet on the market. It has the perfect amount of hold for almost every weapon, it will not scratch and will give you years of stylish, quality service. The SofHold family is committed to excellence by hand crafting gun magnet mounts in America. By keeping our manufacturing in-house, we are able to guarantee a top quality product that our customers absolutely love. Custom magnets available. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1310
Solar Atmospheres Inc.,Supplier -  FinishingSupplier -  Services,"Solar Atmospheres is one of the world's largest providers of commercial vacuum heat treating services. Solar's thermal processing produces bright, scale-free parts with minimal distortion. Solar serves over 18 industries including aerospace, defense, medical, munitions and power gen. Our services include vacuum heat treating, brazing, carburizing, and nitriding. Solar has over 70 furnaces from lab-sized to 48 feet long with a 150,000 lb. workload capacity. Solar operates plants in Eastern and Western Pennsylvania, California, South Carolina, and Michigan. Nadcap, ISO9001, AS9100, & ITAR. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2143
Solar Manufacturing,Supplier -  MachinerySupplier -  Finishing,"Solar Manufacturing delivers the most technically advanced vacuum heat treating furnaces designed for a wide range of processes, including carburizing and nitriding. Solar offers a variety of furnace models and sizes, from mid-sized production furnaces to the Mentor® and Mentor® Pro series, an economical furnace line with a compact footprint featuring graphite or all-metallic insulated hot zones and best-in-class SolarVac® controls. All Solar Manufacturing furnaces are designed for long life, easy maintenance, and minimal downtime. Each new furnace is covered by a full one-year warranty. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3376
Solarcore,Supplier -  Fabrication,"Introducing Solarcore — a revolutionary brand that infuses NASA-developed technology into novel form factors to deliver the most advanced thermal insulation on the planet. The patented technology provides maximum thermal performance with minimal loft, and it can be easily incorporated into pre-existing manufacturing processes in multiple form factors across consumer, commercial, and government use cases. Solarcore is The Future of Insulation. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3762
Solehre Brothers Industries,SHOT -  Retailer ServicesSHOT -  Communications/Electronics/GPS,"Solehre Brothers Industries is a well-established manufacturer and OEM/ODM source of Premium protection gloves in Pakistan. Solehre is successfully working with different well-known international brands all over the world for the last three decades and earned the trust of our customers by supplying quality products on committed delivery dates at the most competitive prices. Solehre Brothers Industries operates according to ISO 9001:2015 for Quality Management, ISO 45001:2018 and ISO 14001 certified for environmental management. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1312
SolutionsX,Supplier -  Software,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3476
Sonobond Ultrasonics,Supplier -  Machinery,"Innovation, performance, and service make Sonobond the smart choice for ultrasonic welders. In 1960, Sonobond (then known as Aeroprojects) received the first patent for ultrasonic metal welding. Since then, the company has received more than 150 additional patents. These include not only metal welders, but custom-engineered ultrasonic bonders of all types. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1313
Sonoran Desert Institute,SHOT -  Survival Kits/First Aid,"Sonoran Desert Institute is a DEAC accredited, online school that helps students learn the skills and techniques they’ll need to be successful in the firearms industry. SDI’s faculty is comprised of professionals with decades of industry experience, and our programs are designed to combine modern learning methods, hands-on training options, and the flexibility of online education. SDI offers unique online programs to help students achieve their goals. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1314
Sons of Liberty Gun Works,SHOT -  Firearm Grips/StocksSHOT -  Hearing ProtectionSHOT -  Shooting Range Equipment,"Sons of Liberty Gun Works is a manufacturer of high-end, duty-grade M4s and MK10s. Our primary focus is on delivering high-quality, fully customizable rifles at a price everyone can afford. We are a top source for law enforcement departments across the country and take pride in providing weapons that you can trust with your life. Our rifles carry a lifetime warranty, and all LE rifles are backed by the duty rifle replacement program. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1315
Soohupet Archery,Supplier,"Our company was founded in 2008. At the outset, we operated as an OEM (Original Equipment Manufacturer) for many famous brands in the U.S. bow and archery industry, and we still maintain stable business relationships with them. In 2018, we embarked on our own line of archery products, and subsequently obtained approval from China's import and export bureau. Leveraging the designs under our own brand, we've also developed a range of crossbow styles. We are dedicated to provide high-quality products to individuals keen on archery. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3824
Sorbothane Inc.,Supplier -  FabricationSupplier -  OE materials,"Since 1982, Sorbothane, Inc. has engineered and manufacturer shock and vibration products for the shooting sports markets made with our Sorbothane material. Since our beginning, Sorbothane, Inc. has been committed to producing American made products - that protect and improve the quality and enjoyment of life. Sorbothane offers a unique visco-elastic material that engineers have specified for over three decades. Sorbothane is a highly damped polymeric that flows like a liquid under load. Sorbothane is the perfect material for recoil pads, pistol grips, shooting vests and more. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2144
Sordin,SHOT -  Hearing ProtectionSHOT -  Law Enforcement Products/ServicesSHOT -  Hunting Gear/Accessories,"Sordin – The Company The world-class leader in high performance hearing protectors. Sordin has more than 30 years’ experience developing, manufacturing and selling personal protection equipment above the neck. We offer innovative, high quality and safe products, manufactured in a rational production process. Our customers are found in a variety of different markets such as industry, construction, mining, hunting, military, police, emergency service, and forest and garden. Our products are suitable for all customers requiring high-quality passive or electronical hearing protection. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2931
Sota Arms,Supplier -  Machinery,"Sota Arms is a full service machine shop, specializing in the manufacture of AR-15 and AR-10 parts. We machine parts to mil-spec, and custom AR parts for specific accounts. Our niche is high volume, which allows us to keep our prices down for all our customers. We have an FFL, which allows us to machine our own lowers, as well as variances for our dealers. All our manufacturing is done on state of the art equipment. To support the high volume machining, we've implemented the latest and greatest in automation and have several multi-million dollar, highly automated machining cells. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2145
SOTECH/Special Operations Technologies,SHOT -  Scopes/Sights/Telescopes/AccessoriesSHOT -  Bags/Packs & EquipmentSHOT -  Firearm CasesSHOT -  HolstersSHOT -  Law Enforcement Products/Services,"SOTech designs and manufactures durable nylon tactical gear for America's top military, law enforcement and medical teams. All of our products are made in the USA. Our best known gear include taser holsters, flat IFAK's and medical packs. We have several products that are SOCOM official issue, such as our Mission Go Bag. Our LE items have been approved by several LE agencies including the LAPD and LASD. We work with various agencies designing gear that is mission specific as well as practical. All of our gear comes with a lifetime warranty. We have been in business 25 years. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1221
SoundGear,SHOT -  Hearing ProtectionSHOT -  Shooting Range EquipmentSHOT -  Hunting Gear/AccessoriesSHOT -  Training and Safety Equipment,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3926
Source Tactical Gear,SHOT -  Law Enforcement Products/ServicesSHOT -  Bags/Packs & EquipmentSHOT -  Treestands,"Source — the difference in hydration! Rated “Best for Battlefield” by the Army Times and still going strong. Source is fielded by numerous militaries around the world, including in the U.S. We’re bringing to the U.S. market our battle-proven tactical gear and award-winning outdoor gear. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1316
South Dakota Governor's Office of Economic Development,,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=4114
Southern Machine Works,Supplier -  MachiningSupplier -  Fabrication,"Southern Machine Works is a make-to-print contract CNC machining concern supplying components to the Commercial Firearms and Military industries. We provide CNC machining for low to high volume production in an AS9100 & ISO 9001:2015 quality environment. We maintain a 07 FFL, SOT, and are ITAR registered. Our 25,000 sq-ft machining facility is climate-controlled and we employ a lean manufacturing philosophy. We are centrally located in the USA in the greater Southern OK/DFW area. Accounts are managed by an Engineer with over two decades of direct commercial firearms experience. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2147
Southwest Archery,SHOT -  Archery,"With over 20 years of experience in all aspects of archery, we started from a small pro shop retail store in southern California and managed to grow into a reputable traditional bow manufacturer with over 250 dealers across the country. We pride ourselves on creating hand-crafted bows from naturally sourced materials and offering them at affordable prices. We understand that customer service is a key component and have gone a step further by offering an industry-leading one-year manufacturer warranty on all southwest archery products. For only the best choose southwest! (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3915
"Southwick Associates, Inc.",,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3002
Spandau Arms,,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=4010
Spark Munitions,SHOT -  AmmunitionSHOT -  Firearms,"We have years of experience in the development, testing and manufacturing of ammunition. Our pistol ammunition provides match grade performance at reasonable prices. Rifle ammunition is loaded with only the finest projectiles on the market. Tight tolerances in the loading process provide unprecedented extreme spreads and group sizes. Temperature stable powders provide the shooter confidence no matter the condition. We have a multitude of projectile families in calibers ranging from .380 to 50BMG. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1318
SPARROWS,SHOT -  Scopes/Sights/Telescopes/AccessoriesSHOT -  Law Enforcement Products/Services,"Manufacturer of Lock Picks & COVERT ENTRY TOOLS With the largest selection of lock picks, covert entry and SERE tools available at SHOT it¹s guaranteed we will have gear you have not seen before. New tools and classics will be on display in a hands on environment. Our Product range covers Custom toolsets, Entry Tools, Practice locks, Bypass tools, Urban Escape & Evasion hardware and lock picks. Products will be demonstrated at various times and can be personally tested for use and Efficacy. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1319
Sparta Pewter USA,Supplier -  Fabrication,"With over 35 years of manufacturing and decorating experience, we gained a reputation for exceptional service and quality. This has helped our family business grow to over 50 employees with two locations, housed under 50,000 square feet. We hold licenses with the military and are GSA Approved. We offer a wide variety of items such as apparel, bags, knives, challenge coins, drinkware, giftware, and more. We can customize our products with your logo to help promote your business or increase retail sales. Call us today to see how we can help your business prosper with our line of products. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3406
Spartan Armor Systems,SHOT -  Law Enforcement Products/ServicesSHOT -  TargetsSHOT -  Survival Kits/First AidSHOT -  Wholesaler/Distributor,"Spartan Armor Systems’ mission is to provide first responders with the affordable, reliable body armor protection they deserve. Spartan Armor Systems is one of the premier body armor and tactical gear suppliers in the United States, with high-quality ceramic and steel core body armor, plate carriers, reactive targets and more. Spartan Armor Systems specializes in NIJ 0101.06-compliant body armor and offers Level III, Level III+ and Level IV threat protection for Law Enforcement, Military and civillians (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1320
Spartan Blades,,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1090
Spartan Camera/HCO,SHOT -  Hunting Gear/Accessories,"Spartan Camera offers the most sophisticated wireless scouting camera solutions. Take control of your hunt with our mobile app and web portal that lets you send images and videos right to your phone, tablet, or computer in near real-time. Our GoLive cameras are the first in the industry with live streaming capabilities. Whether you’re monitoring land, cabins, or animals; The Spartan GoLive allows you to livestream with the touch of a button. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=632
Spartan Precision,SHOT -  Hunting Gear/Accessories,"We make the ultimate lightweight bipods/tripods for hunting, target and competition rifle shooters. Our Javelin solves the two biggest problems with other bipods: weight and bulk. At under six ounces, it is the easiest way to save half a pound on your rifle. Instead of having a bulky bipod banging around on the front of your rifle, you can keep ours stowed away in a pocket or in our holsters until you want to use it. The carbon fiber Sentinel can be a tripod, a three-legged rifle shooting rest, a big bipod, a mono pod or and even a trekking pole. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1321
Spartan Shield Gun Coatings,Supplier,Spartan Shield Gun Coatings is dedicated to providing you with the best coatings for firearms in the market. That is why we have created a one package solution thru crosslink technology. This allows you to take out the guess work of being a “chemist”. It also allows you to extend your production rate. (less),https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2243
Special Ops Bunker,SHOT -  Law Enforcement Products/Services,"Special Ops Bunker is a manufacturer of mobile ballistic defense systems for law enforcement, security and military applications. Our products provide teams with the highest ballistic protection levels possible while maximizing mobility, agility and overall versatility. Our product line includes rifle-rated hand-carry shields and mobile defensive positions. We have gained a reputation in the industry as problem solvers; we often develop custom solutions for our clients when existing products will not meet their specific requirements. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1292
Specialty Archery and Bodoodle Arrow Rests,,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3494
Specna Arms,SHOT -  Airgun/Airsoft Products,"Specna Arms is a reliable and well-recognized brand on the airsoft market. Years of experience and thousands of users confirm the high quality of products. Specna Arms offer includes a wide range of airsoft guns divided into our four lines: polymer Core and Flex, and innovative Edge and EDGE 2.0. Thanks to that, our offer will satisfy beginners as well as experienced airsoft players. Specna Arms airsoft replicas are equipped with Easy Spring Access – ESA, reinforced Orion Gearbox, electronic trigger, precision barrels, unique Specna Arms magazines, and many other exceptional elements. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3320
Speed Vina,Supplier -  FabricationSupplier -  FinishingSHOT -  Bags/Packs & EquipmentSHOT -  Hunting Gear/Accessories,"SPEED VINA is the most well known Thread, Webbing, Elastic band and String supplier all around the world. SPEED VINA is located in Vietnam and specialize in manufacturing unltra high-tenacity products. Main products are UHMWPE, Nylon 6.6, Polyester HTY, Embroidery, Spun polyester and Dyneema and those are GRS and OEKO-TEX certified
Our qualified products are being used for Shooting, Outdoor, Military, Shoes and Harness products 
  (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3589
Speer Ammunition,,"Speer Ammunition is headquartered in Lewiston, Idaho and manufactures a variety of ammunition and component bullets for law enforcement, training, reloading, hunting and recreational shooting. Speer Gold Dot Ammunition dominates the law enforcement community. Learn more at www.speer-ammo.com or www.speer-bullets.com. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2593
SpetzGear,SHOT -  HolstersSHOT -  Law Enforcement Products/Services,"SpetzGear was started because we wanted a tactical holster that would allow us to carry our firearm safely and comfortably without cutting on style. The first holster was the start of a line of products ranging from concealed carry to tactical gear. Now today, SpetzGear is the most trusted brand of tactical kydex products for law enforcement agencies and civilians, while still maintaining our values as a family based company. All of our products have been battle-tested and we stand behind them 100%. Each SpetzGear product is handmade individually and comes with a Limited Lifetime Warranty. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1323
SPIKA,"SHOT -  Apparel, Men'sSHOT -  Bags/Packs & EquipmentSHOT -  Cutlery/Sharpeners/Knives/AccessoriesSHOT -  Firearm Cabinets/Racks/SafesSHOT -  International ExhibitorsSHOT -  Treestands","SPIKA is an Australian-owned company that has quickly grown to become the shooter and hunter’s first choice for the ultimate in gun safes, clothing and accessories. Our extensive range has been designed by SPIKA to bring you quality without compromise. Spika safes, clothing & accessories are available through a vast number of stockists throughout Australia and worldwide. We strive to encourage and build safety in the firearms industry to bring peace-of-mind to our customers letting them get on and enjoy the benefits of hunting, the sport and the great outdoors. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3507
Spinetti Machinery,Supplier -  MachinerySupplier -  MachiningSupplier -  Tools,"Spinetti Machinery takes pride in providing the highest quality machine tool technology combined with our commitment to a superior level of support and value added services. Featured Products: Citizen-Cincom Swiss style lathes, Citizen-Miyano lathes, Laser marking machines, Genevieve Swiss tooling and accessories, MiJet Parts cleaning units. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2150
Spinner,Supplier -  Machinery,"Premier German Builder of
Ultra-High-Precision CNC Machine Tools since 1949
""The Craftsman's Choice in CNC Machining.""
 

SPINNER North America provides a range of high-precision machine tools, including CNC lathes and milling machines, as well as automation solutions for the manufacturing industry.


SPINNER precision CNC machine tools include:
- Ultra-precision lathes for hard turning
- Powerful Universal Lathes
- High-performance multi-turret lathes
- Rigid 3 or 4-axis high-precision VMCs
- 5-axis high-performance precision VMCs
- Turnkey automation for unattended machine loading/unloading. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3582
Spinner North America,SHOT -  Wholesaler/DistributorSupplier -  Machinery,"Premier German Builder of
Ultra-High-Precision CNC Machine Tools since 1949
""The Craftsman's Choice in CNC Machining.""
 

SPINNER North America provides a range of high-precision machine tools, including CNC lathes and milling machines, as well as automation solutions for the manufacturing industry.


SPINNER precision CNC machine tools include:
- Ultra-precision lathes for hard turning
- Powerful Universal Lathes
- High-performance multi-turret lathes
- Rigid 3 or 4-axis high-precision VMCs
- 5-axis high-performance precision VMCs
- Turnkey automation for unattended machine loading/unloading. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2411
Spire Ranges,SHOT -  TargetsSHOT -  Law Enforcement Products/ServicesSHOT -  Shooting Range EquipmentSHOT -  Custom Manufacturing,"Spire Ranges, established in 2015, has become the innovative leader in small arms range equipment manufacturing and installation. We’ve created a full line of indoor and outdoor, automated target systems, a brilliant, easy-to-use interface, and high-performance range containment products. Everything we do can be completely catered to individual tastes, is completely quality assured, and revolves around a core of incredible customer service. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1324
Spiritus Systems,SHOT -  Hearing ProtectionSHOT -  Association/Agencies/Wildlife Mgmt.,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1325
SPIROL,SHOT -  Airgun/Airsoft ProductsSHOT -  ArcherySHOT -  Binoculars/TelescopesSHOT -  Crossbows & AccessoriesSHOT -  FirearmsSHOT -  Training and Safety Equipment,"SPIROL is a manufacturer of engineered fasteners, shims, installation machines and parts feeding equipment designed to facilitate the assembly process and meet the performance requirements of our customers. SPIROL’s high quality components improve the quality of your assembly, extend the life of your products and reduce your manufacturing costs. We offer complimentary Application Engineering support to help you design not only the engineered fastener, but also the critical recommendations for the interface between our product and your assembly. Let us help you! (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3411
Spiros Industries Inc.,Supplier -  Fabrication,"Spiros Industries is a high-quality precision custom spring manufacturer serving a host of tactical gun manufacturers worldwide. For over a quarter century a key ingredient to our continued success has been the speed to market attitude and flexibility necessary to keep pace with evolving firearms manufacturing. As a Part Of Your Product and A Partner In Your Success, Spiros helps from the onset with design assistance through production. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2151
Spohr GmbH,Spohr - shooting precision,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3806
Sport Target Pistol by Prommersberger,SHOT -  FirearmsSHOT -  Custom ManufacturingSHOT -  Firearm Barrels/Parts/Gunsmithing,"STP® – Premium Guns „made in Germany“
Through intense research and development process we managed to start our production in Germany.
We invested in our own manufacturing facility with high-grade CNC machinery, qualified gunmakers and machining technicians. Most parts are made in Germany, we do not use any MIM part.
For optic ready (OR) use we recommend our interface solution, we offer different adapter plates for different red dot sights, the basic sight is a Bomar, for switching over to OR the complete assembly can easily be changed, without removing the red dot.
  (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3807
Sportchief,"SHOT -  Apparel, Men'sSHOT -  Apparel, Women'sSHOT -  Association/Agencies/Wildlife Mgmt.SHOT -  FirearmsSHOT -  Communications/Electronics/GPSSHOT -  Game Calls",,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1326
Sports South LLC,SHOT -  FirearmsSHOT -  AmmunitionSHOT -  Retailer ServicesSHOT -  Pet Supplies/Training EquipmentSHOT -  Hunting Gear/AccessoriesSHOT -  Treestands,"As the country’s oldest and largest distributor of firearms, ammunition and shooting sports accessories, Sports South maintains its leadership position through the relentless pursuit of new ideas and new thinking. With the nation’s largest concentration of shooting sports inventory under one roof, Sports South can deliver unmatched distribution services to its customers. For 178 years running, that has been our singular task. Sports South and its owners have been and continue to be heavily invested in giving back to protect the industry’s future. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1328
Spot LLC,SHOT -  CampingSHOT -  Communications/Electronics/GPSSHOT -  Retailer ServicesSHOT -  Scopes/Sights/Telescopes/AccessoriesSHOT -  Hunting Gear/Accessories,"SPOT offers peace of mind, using 100% satellite technology. SPOT products keep you connected to the people and things that matter most. SPOT allows you to track assets, send and receive messages, send your GPS position and status, mark waypoints, track your progress on SPOT Mapping and notify search and rescue officials in the event of an emergency. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1331
Spot-Hogg Archery Products,SHOT -  Archery,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3361
Springboard Group,SHOT -  Hunting Gear/AccessoriesSHOT -  Crossbows & Accessories,"The Springboard Group is a manufacturer’s representative for ArmourLite Watch Company (ArmourLite and Isobrite), Halfbreed Blades, Brute Magnetics and others. The Springboard Group works with emerging and well-established brands for dealer recruitment and training, marketing strategy, show design, staffing, lead tracking, follow-up and fulfillment. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1333
Springfield Armory,SHOT -  Firearm Grips/Stocks,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1334
Springfield Spring & Stamping,Supplier -  MachiningSupplier -  FabricationSupplier -  Stamping,"Since 1942, Springfield Spring & Stamping has been manufacturing precision-engineered compression springs, magazine springs, extension springs, torsion springs, wire-forms and four-slide produced stampings. We are ISO 13485 Medical and ISO 9001 Commercial registered. We've created a proprietary engineered magazine spring developmeent process that can minimze magazine spring qualification to as little as one week's time. We offer spring design and component design assistance at no additional charge. Also provide: ITAR Certification, PPAP, Prototyping and a SolidWorks CAD interface (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2152
SpringTools,SHOT -  Hearing ProtectionSHOT -  Firearm LocksSHOT -  Binoculars/Telescopes,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1335
SPS Commerce,SHOT -  Retailer Services,"SPS Commerce is the world’s leading retail network, connecting trading partners around the globe to optimize supply chain operations for all retail partners. We support data-driven partnerships with innovative cloud technology, customer-obsessed service, and accessible experts so our customers can focus on what they do best. SPS Commerce Analytics empowers you with a single source of sell-through data so you can make faster, better decisions for your business. Forecast, plan and execute with precision to increase sales, optimize inventory and develop strategic relationships with buyers. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2153
"Spunfab, Ltd.",Supplier -  FabricsSupplier -  PlasticsSupplier -  FabricationSupplier -  Packaging,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=2154
Spyderco Inc.,SHOT -  Cutlery/Sharpeners/Knives/Accessories,"Over 45 years ago, Spyderco pioneered the modern folding knife, introducing now-common features such as pocket clips, serrated edges and one-handed opening capability. That spirit of innovation and an uncompromising commitment to quality are still the heart of our distinctive line of folding knives, fixed-blades and sharpeners, as well as our affordable Byrd line. Those who know carry Spyderco. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1336
Spypoint,SHOT -  Cameras/EquipmentSHOT -  Hunting Gear/Accessories,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1337
SRM knives,Supplier -  ToolsSHOT -  Cutlery/Sharpeners/Knives/Accessories,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3554
SRT Supply LLC,SHOT -  AmmunitionSHOT -  Firearm Grips/StocksSHOT -  Hearing ProtectionSHOT -  Retailer Services,,https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=1338
SSI- Turkish Defence and Aerospace Industry Exporters,,"Turkey has made remarkable progress in the firearms, hunting and sporting firearms and ammunition industry in recent years. Turkish Hunting and Shooting companies are looking forward to being able to show you their high-quality products. While it is among the leading suppliers in the world in production, the Turkish hunting and shooting industry, which exports to more than 100 countries and is accepted all over the world with its products, increases its share in the world market every year in marketing and sales. (less)",https://n1b.goexposoftware.com/events/ss24/goExpo/exhibitor/viewExhibitorProfile.php?__id=3833
